Country,SDGi,Life Expectancy,HDI,Per Capita GDP,Region,Income Group,Population,Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Production),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required,Year,Other renewables,Biofuels consumption,Solar consumption,Wind consumption,Hydro consumption,Nuclear consumption,Gas consumption,Coal consumption,Oil consumption,CO2 emissions,Urbanization
Afghanistan,51.8,64,0.49,2439.68,Middle East/Central Asia,LI, 38.0 ,0.4,0.2,0.1,0.1,0.0,0.0,0.8,0.5,0.2,0.1,0.2,0.0,0.0,0.9,0.4,0.2,0.0,0.0,0.0,0.6,(0.3),0.6,1.5,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10825145,0.26
Albania,71.5,79,0.81,13862.6,Other Europe,UM, 2.9 ,0.6,0.2,0.1,0.6,0.0,0.1,1.6,0.8,0.2,0.2,0.8,0.0,0.1,2.1,0.6,0.2,0.2,0.1,0.1,1.1,(1.0),1.4,1.9,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4826944,0.61
Algeria,70.5,76,0.75,11412.2,Africa,UM, 43.1 ,0.4,0.1,0.1,1.2,0.0,0.0,1.8,0.7,0.2,0.2,1.3,0.0,0.0,2.4,0.4,0.2,0.0,0.0,0.0,0.7,(1.7),1.5,3.4,2019,0,0,1.6211231,0.02635972,0.40066776,0,450.54623,4.80319,236.9513,179906580,0.73
Angola,51.0,62,0.60,7034.84,Africa,LM, 31.8 ,0.2,0.1,0.1,0.2,0.1,0.1,0.7,0.3,0.1,0.1,0.4,0.1,0.1,1.0,0.2,0.9,0.5,0.2,0.1,1.7,0.7 ,0.6,0.6,2019,0,0,0,0,0,0,0,0,0,22047118,0.66
Antigua and Barbuda,,79,0.80,22000.2,Central America/Caribbean,HI, 0.1 ,,,,,,,1.5,,,,,,,3.9,,,,,,0.9,(3.0),2.5,4.2,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,641200,0.25
Argentina,73.0,77,0.85,22066.1,South America,UM, 44.8 ,2.0,0.8,0.2,1.2,0.2,0.1,4.6,1.0,0.5,0.2,1.4,0.1,0.1,3.4,2.0,1.2,0.6,1.6,0.1,5.5,2.1 ,2.2,0.6,2019,4.7105803,17.97012,2.1079817,13.169229,72.50111,21.353771,465.58914,8.123962,321.83243,178508060,0.92
Armenia,70.9,75,0.78,13637.9,Middle East/Central Asia,LM, 3.0 ,0.3,0.2,0.2,0.7,0.0,0.0,1.5,0.6,0.2,0.3,0.9,0.0,0.0,2.1,0.3,0.3,0.1,0.0,0.0,0.8,(1.3),1.4,2.7,2019,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6284110,0.63
Australia,75.5,83,0.94,50428.7,Asia-Pacific,HI, 25.2 ,2.0,2.2,1.0,5.2,0.0,0.0,10.4,0.4,0.3,0.9,4.4,0.1,0.0,6.1,2.0,4.6,1.9,2.9,0.0,11.5,5.3 ,4.0,0.5,2019,11.069691,1.5139049,48.229267,51.326828,36.958454,0,440.5704,486.3916,603.7836,415769800,0.86
Austria,82.3,82,0.92,56303.6,EU-28,HI, 9.0 ,0.6,0.1,1.3,2.5,0.0,0.2,4.6,0.9,0.3,0.9,3.5,0.0,0.2,5.8,0.6,0.1,2.0,0.0,0.2,2.9,(2.9),3.7,2.0,2019,14.901927,5.167319,4.48667,19.638197,107.61613,0,89.00441,33.94468,153.20105,67945990,0.59
Azerbaijan,73.0,73,0.76,14501.1,Middle East/Central Asia,UM, 10.0 ,0.6,0.2,0.0,1.1,0.0,0.0,2.0,0.8,0.2,0.1,1.1,0.0,0.0,2.3,0.6,0.2,0.1,0.0,0.0,0.9,(1.4),1.5,2.5,2019,0.31267637,0,0.11651,0.27783138,4.124769,0,117.89236,0.007694444,63.158752,37745604,0.56
